Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_no_cg.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  9 00:37 2026
NOTE: automatic random seed used: 983445339
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Checker] Predicted Drop: Packet ID 103 is INVALID (Src:0100 Tgt:0101). Ignoring.
[Driver_2] ID:103 Name:pkt_2 | Src:0100 Tgt:0101 | Data(Hex):d2 Data(Dec):210 | Type:MDP
[Checker] Predicted Drop: Packet ID 104 is INVALID (Src:1000 Tgt:1100). Ignoring.
[Driver_3] ID:104 Name:pkt_3 | Src:1000 Tgt:1100 | Data(Hex):01 Data(Dec):1 | Type:MDP
[Monitor_1] ID:105 Name:monitored | Src:0001 Tgt:1010 | Data(Hex):26 Data(Dec):38 | Type:MDP
[Monitor_3] ID:106 Name:monitored | Src:0001 Tgt:1010 | Data(Hex):26 Data(Dec):38 | Type:MDP
[Monitor_0] ID:107 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):ed Data(Dec):237 | Type:MDP
[Monitor_2] ID:108 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):ed Data(Dec):237 | Type:MDP
[Monitor_3] ID:109 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):ed Data(Dec):237 | Type:MDP
[Checker] Predicted Drop: Packet ID 110 is INVALID (Src:0010 Tgt:0111). Ignoring.
[Driver_1] ID:110 Name:pkt_1 | Src:0010 Tgt:0111 | Data(Hex):1e Data(Dec):30 | Type:MDP
[Checker] Predicted Drop: Packet ID 111 is INVALID (Src:0100 Tgt:0110). Ignoring.
[Driver_2] ID:111 Name:pkt_2 | Src:0100 Tgt:0110 | Data(Hex):bd Data(Dec):189 | Type:MDP
[Driver_0] ID:112 Name:pkt_0 | Src:0001 Tgt:0100 | Data(Hex):13 Data(Dec):19 | Type:SDP
[Driver_2] ID:113 Name:pkt_2 | Src:0100 Tgt:1111 | Data(Hex):48 Data(Dec):72 | Type:BDP
[Driver_3] ID:114 Name:pkt_3 | Src:1000 Tgt:0101 | Data(Hex):95 Data(Dec):149 | Type:MDP
[Checker] Predicted Drop: Packet ID 115 is INVALID (Src:0001 Tgt:1011). Ignoring.
