Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final.log +no_notifier
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  8 23:32 2026
NOTE: automatic random seed used: 3283960151
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Driver_3] ID:101 Name:pkt_3 | Src:1000 Tgt:0011 | Data(Hex):90 Data(Dec):144 | Type:MDP
[Checker] Predicted Drop: Packet ID 102 is INVALID (Src:0010 Tgt:0111). Ignoring.
[Driver_1] ID:102 Name:pkt_1 | Src:0010 Tgt:0111 | Data(Hex):eb Data(Dec):235 | Type:MDP
[Checker] Predicted Drop: Packet ID 103 is INVALID (Src:0100 Tgt:0111). Ignoring.
[Driver_2] ID:103 Name:pkt_2 | Src:0100 Tgt:0111 | Data(Hex):88 Data(Dec):136 | Type:MDP
[Checker] Predicted Drop: Packet ID 104 is INVALID (Src:0001 Tgt:1001). Ignoring.
[Driver_0] ID:104 Name:pkt_0 | Src:0001 Tgt:1001 | Data(Hex):1a Data(Dec):26 | Type:MDP
[Driver_3] ID:105 Name:pkt_3 | Src:1000 Tgt:0100 | Data(Hex):51 Data(Dec):81 | Type:SDP
[Monitor_0] ID:106 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):90 Data(Dec):144 | Type:MDP
[Monitor_1] ID:107 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):90 Data(Dec):144 | Type:MDP
[Driver_2] ID:108 Name:pkt_2 | Src:0100 Tgt:1000 | Data(Hex):47 Data(Dec):71 | Type:SDP
[Checker] Predicted Drop: Packet ID 109 is INVALID (Src:0010 Tgt:1011). Ignoring.
[Driver_1] ID:109 Name:pkt_1 | Src:0010 Tgt:1011 | Data(Hex):9a Data(Dec):154 | Type:MDP
[Monitor_2] ID:110 Name:monitored | Src:1000 Tgt:0100 | Data(Hex):51 Data(Dec):81 | Type:SDP
[Monitor_3] ID:111 Name:monitored | Src:0100 Tgt:1000 | Data(Hex):47 Data(Dec):71 | Type:SDP
[Driver_3] ID:112 Name:pkt_3 | Src:1000 Tgt:0001 | Data(Hex):e4 Data(Dec):228 | Type:SDP
[Checker] Predicted Drop: Packet ID 113 is INVALID (Src:0001 Tgt:1011). Ignoring.
[Driver_0] ID:113 Name:pkt_0 | Src:0001 Tgt:1011 | Data(Hex):90 Data(Dec):144 | Type:MDP
[Driver_2] ID:114 Name:pkt_2 | Src:0100 Tgt:0010 | Data(Hex):38 Data(Dec):56 | Type:SDP
[Checker] Predicted Drop: Packet ID 115 is INVALID (Src:1000 Tgt:1000). Ignoring.
[Driver_3] ID:115 Name:pkt_3 | Src:1000 Tgt:1000 | Data(Hex):43 Data(Dec):67 | Type:SDP
[Monitor_0] ID:116 Name:monitored | Src:1000 Tgt:0001 | Data(Hex):e4 Data(Dec):228 | Type:SDP
[Driver_1] ID:117 Name:pkt_1 | Src:0010 Tgt:1101 | Data(Hex):59 Data(Dec):89 | Type:MDP
[Checker] Predicted Drop: Packet ID 118 is INVALID (Src:0001 Tgt:0001). Ignoring.
[Driver_0] ID:118 Name:pkt_0 | Src:0001 Tgt:0001 | Data(Hex):1c Data(Dec):28 | Type:SDP
[Monitor_1] ID:119 Name:monitored | Src:0100 Tgt:0010 | Data(Hex):38 Data(Dec):56 | Type:SDP
[Checker] Predicted Drop: Packet ID 120 is INVALID (Src:0100 Tgt:1110). Ignoring.
[Driver_2] ID:120 Name:pkt_2 | Src:0100 Tgt:1110 | Data(Hex):8e Data(Dec):142 | Type:MDP
[Monitor_0] ID:121 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):59 Data(Dec):89 | Type:MDP
[Monitor_2] ID:122 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):59 Data(Dec):89 | Type:MDP
[Monitor_3] ID:123 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):59 Data(Dec):89 | Type:MDP
[Driver_1] ID:124 Name:pkt_1 | Src:0010 Tgt:1001 | Data(Hex):0b Data(Dec):11 | Type:MDP
[Driver_3] ID:125 Name:pkt_3 | Src:1000 Tgt:0010 | Data(Hex):3d Data(Dec):61 | Type:SDP
[Checker] Predicted Drop: Packet ID 126 is INVALID (Src:0100 Tgt:0101). Ignoring.
[Driver_2] ID:126 Name:pkt_2 | Src:0100 Tgt:0101 | Data(Hex):58 Data(Dec):88 | Type:MDP
[Checker] Predicted Drop: Packet ID 127 is INVALID (Src:0001 Tgt:1101). Ignoring.
[Driver_0] ID:127 Name:pkt_0 | Src:0001 Tgt:1101 | Data(Hex):14 Data(Dec):20 | Type:MDP
[Monitor_1] ID:128 Name:monitored | Src:1000 Tgt:0010 | Data(Hex):3d Data(Dec):61 | Type:SDP
[Monitor_0] ID:129 Name:monitored | Src:0010 Tgt:1001 | Data(Hex):0b Data(Dec):11 | Type:MDP
[Monitor_3] ID:130 Name:monitored | Src:0010 Tgt:1001 | Data(Hex):0b Data(Dec):11 | Type:MDP
[Checker] Predicted Drop: Packet ID 131 is INVALID (Src:0100 Tgt:1100). Ignoring.
[Driver_2] ID:131 Name:pkt_2 | Src:0100 Tgt:1100 | Data(Hex):07 Data(Dec):7 | Type:MDP
[Driver_1] ID:132 Name:pkt_1 | Src:0010 Tgt:0101 | Data(Hex):94 Data(Dec):148 | Type:MDP
[Driver_3] ID:133 Name:pkt_3 | Src:1000 Tgt:0011 | Data(Hex):53 Data(Dec):83 | Type:MDP
[Checker] Predicted Drop: Packet ID 134 is INVALID (Src:0100 Tgt:0100). Ignoring.
[Driver_2] ID:134 Name:pkt_2 | Src:0100 Tgt:0100 | Data(Hex):ab Data(Dec):171 | Type:SDP
[Checker] Predicted Drop: Packet ID 135 is INVALID (Src:0001 Tgt:1011). Ignoring.
[Driver_0] ID:135 Name:pkt_0 | Src:0001 Tgt:1011 | Data(Hex):c7 Data(Dec):199 | Type:MDP
[Monitor_0] ID:136 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):53 Data(Dec):83 | Type:MDP
[Monitor_1] ID:137 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):53 Data(Dec):83 | Type:MDP
[Monitor_0] ID:138 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):94 Data(Dec):148 | Type:MDP
[Monitor_2] ID:139 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):94 Data(Dec):148 | Type:MDP
[Checker] Predicted Drop: Packet ID 140 is INVALID (Src:0010 Tgt:0110). Ignoring.
[Driver_1] ID:140 Name:pkt_1 | Src:0010 Tgt:0110 | Data(Hex):17 Data(Dec):23 | Type:MDP
[Driver_2] ID:141 Name:pkt_2 | Src:0100 Tgt:1011 | Data(Hex):48 Data(Dec):72 | Type:MDP
[Checker] Predicted Drop: Packet ID 142 is INVALID (Src:0001 Tgt:1001). Ignoring.
[Driver_0] ID:142 Name:pkt_0 | Src:0001 Tgt:1001 | Data(Hex):b7 Data(Dec):183 | Type:MDP
[Checker] Predicted Drop: Packet ID 143 is INVALID (Src:1000 Tgt:0000). Ignoring.
[Driver_3] ID:143 Name:pkt_3 | Src:1000 Tgt:0000 | Data(Hex):e8 Data(Dec):232 | Type:ERR
[Monitor_0] ID:144 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):48 Data(Dec):72 | Type:MDP
[Monitor_1] ID:145 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):48 Data(Dec):72 | Type:MDP
[Monitor_3] ID:146 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):48 Data(Dec):72 | Type:MDP
[Checker] Predicted Drop: Packet ID 147 is INVALID (Src:0010 Tgt:0000). Ignoring.
[Driver_1] ID:147 Name:pkt_1 | Src:0010 Tgt:0000 | Data(Hex):65 Data(Dec):101 | Type:ERR
[Driver_2] ID:148 Name:pkt_2 | Src:0100 Tgt:0011 | Data(Hex):cb Data(Dec):203 | Type:MDP
[Driver_3] ID:149 Name:pkt_3 | Src:1000 Tgt:0011 | Data(Hex):ea Data(Dec):234 | Type:MDP
[Driver_0] ID:150 Name:pkt_0 | Src:0001 Tgt:0100 | Data(Hex):90 Data(Dec):144 | Type:SDP
[Driver_1] ID:151 Name:pkt_1 | Src:0010 Tgt:1000 | Data(Hex):0f Data(Dec):15 | Type:SDP
[Monitor_0] ID:152 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):cb Data(Dec):203 | Type:MDP
[Monitor_1] ID:153 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):cb Data(Dec):203 | Type:MDP
[Monitor_0] ID:154 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):ea Data(Dec):234 | Type:MDP
[Monitor_1] ID:155 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):ea Data(Dec):234 | Type:MDP
[Monitor_2] ID:156 Name:monitored | Src:0001 Tgt:0100 | Data(Hex):90 Data(Dec):144 | Type:SDP
[Driver_3] ID:157 Name:pkt_3 | Src:1000 Tgt:0111 | Data(Hex):8c Data(Dec):140 | Type:MDP
[Checker] Predicted Drop: Packet ID 158 is INVALID (Src:0001 Tgt:0011). Ignoring.
[Driver_0] ID:158 Name:pkt_0 | Src:0001 Tgt:0011 | Data(Hex):d8 Data(Dec):216 | Type:MDP
[Driver_2] ID:159 Name:pkt_2 | Src:0100 Tgt:1000 | Data(Hex):b0 Data(Dec):176 | Type:SDP
[Monitor_3] ID:160 Name:monitored | Src:0010 Tgt:1000 | Data(Hex):0f Data(Dec):15 | Type:SDP
[Driver_1] ID:161 Name:pkt_1 | Src:0010 Tgt:1111 | Data(Hex):9b Data(Dec):155 | Type:BDP
[Monitor_0] ID:162 Name:monitored | Src:1000 Tgt:0111 | Data(Hex):8c Data(Dec):140 | Type:MDP
[Monitor_1] ID:163 Name:monitored | Src:1000 Tgt:0111 | Data(Hex):8c Data(Dec):140 | Type:MDP
[Monitor_2] ID:164 Name:monitored | Src:1000 Tgt:0111 | Data(Hex):8c Data(Dec):140 | Type:MDP
[Driver_2] ID:165 Name:pkt_2 | Src:0100 Tgt:0001 | Data(Hex):97 Data(Dec):151 | Type:SDP
[Monitor_3] ID:166 Name:monitored | Src:0100 Tgt:1000 | Data(Hex):b0 Data(Dec):176 | Type:SDP
[Driver_3] ID:167 Name:pkt_3 | Src:1000 Tgt:0111 | Data(Hex):2b Data(Dec):43 | Type:MDP
[Monitor_0] ID:168 Name:monitored | Src:0010 Tgt:1111 | Data(Hex):9b Data(Dec):155 | Type:BDP
[Monitor_1] ID:169 Name:monitored | Src:0010 Tgt:1111 | Data(Hex):9b Data(Dec):155 | Type:BDP
