Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_cg_100mhz.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan 14 17:11 2026
NOTE: automatic random seed used: 2297481700
Doing SDF annotation ...... Done
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  50
[Driver_3] ID:70 Name:pkt_3 | Src:1000 Tgt:1000 | Data(Hex):11 Data(Dec):17 | Type:SDP
[Checker] Predicted Drop: Packet ID 71 is INVALID (Src:0100 Tgt:1110). Ignoring.
[Driver_2] ID:71 Name:pkt_2 | Src:0100 Tgt:1110 | Data(Hex):7c Data(Dec):124 | Type:MDP
[Driver_1] ID:72 Name:pkt_1 | Src:0010 Tgt:1001 | Data(Hex):f8 Data(Dec):248 | Type:MDP
[Checker] Predicted Drop: Packet ID 73 is INVALID (Src:0001 Tgt:0111). Ignoring.
[Driver_0] ID:73 Name:pkt_0 | Src:0001 Tgt:0111 | Data(Hex):e4 Data(Dec):228 | Type:MDP
[Driver_3] ID:74 Name:pkt_3 | Src:1000 Tgt:0001 | Data(Hex):62 Data(Dec):98 | Type:SDP
[Driver_0] ID:75 Name:pkt_0 | Src:0001 Tgt:1100 | Data(Hex):47 Data(Dec):71 | Type:MDP
[Driver_2] ID:76 Name:pkt_2 | Src:0100 Tgt:1001 | Data(Hex):db Data(Dec):219 | Type:MDP
[Monitor_0] ID:77 Name:monitored | Src:0010 Tgt:1001 | Data(Hex):f8 Data(Dec):248 | Type:MDP
[Monitor_3] ID:78 Name:monitored | Src:0010 Tgt:1001 | Data(Hex):f8 Data(Dec):248 | Type:MDP
[Monitor_0] ID:79 Name:monitored | Src:1000 Tgt:0001 | Data(Hex):62 Data(Dec):98 | Type:SDP
[Checker] Predicted Drop: Packet ID 80 is INVALID (Src:0010 Tgt:0110). Ignoring.
[Driver_1] ID:80 Name:pkt_1 | Src:0010 Tgt:0110 | Data(Hex):58 Data(Dec):88 | Type:MDP
[Checker] Predicted Drop: Packet ID 81 is INVALID (Src:1000 Tgt:1110). Ignoring.
[Driver_3] ID:81 Name:pkt_3 | Src:1000 Tgt:1110 | Data(Hex):40 Data(Dec):64 | Type:MDP
[Monitor_0] ID:82 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):db Data(Dec):219 | Type:MDP
[Monitor_3] ID:83 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):db Data(Dec):219 | Type:MDP
[Monitor_2] ID:84 Name:monitored | Src:0001 Tgt:1100 | Data(Hex):47 Data(Dec):71 | Type:MDP
[Monitor_3] ID:85 Name:monitored | Src:0001 Tgt:1100 | Data(Hex):47 Data(Dec):71 | Type:MDP
[Driver_0] ID:86 Name:pkt_0 | Src:0001 Tgt:1110 | Data(Hex):9a Data(Dec):154 | Type:MDP
[Checker] Predicted Drop: Packet ID 87 is INVALID (Src:0100 Tgt:0100). Ignoring.
[Driver_2] ID:87 Name:pkt_2 | Src:0100 Tgt:0100 | Data(Hex):22 Data(Dec):34 | Type:SDP
[Driver_1] ID:88 Name:pkt_1 | Src:0010 Tgt:0100 | Data(Hex):f1 Data(Dec):241 | Type:SDP
[Monitor_1] ID:89 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):9a Data(Dec):154 | Type:MDP
[Monitor_2] ID:90 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):9a Data(Dec):154 | Type:MDP
[Monitor_3] ID:91 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):9a Data(Dec):154 | Type:MDP
[Driver_0] ID:92 Name:pkt_0 | Src:0001 Tgt:0010 | Data(Hex):32 Data(Dec):50 | Type:SDP
[Driver_3] ID:93 Name:pkt_3 | Src:1000 Tgt:0110 | Data(Hex):a9 Data(Dec):169 | Type:MDP
[Monitor_2] ID:94 Name:monitored | Src:0010 Tgt:0100 | Data(Hex):f1 Data(Dec):241 | Type:SDP
[Driver_2] ID:95 Name:pkt_2 | Src:0100 Tgt:1010 | Data(Hex):96 Data(Dec):150 | Type:MDP
[Monitor_1] ID:96 Name:monitored | Src:0001 Tgt:0010 | Data(Hex):32 Data(Dec):50 | Type:SDP
[Monitor_1] ID:97 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):a9 Data(Dec):169 | Type:MDP
[Monitor_2] ID:98 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):a9 Data(Dec):169 | Type:MDP
[Checker] Predicted Drop: Packet ID 99 is INVALID (Src:0010 Tgt:1110). Ignoring.
[Driver_1] ID:99 Name:pkt_1 | Src:0010 Tgt:1110 | Data(Hex):8a Data(Dec):138 | Type:MDP
[Monitor_1] ID:100 Name:monitored | Src:0100 Tgt:1010 | Data(Hex):96 Data(Dec):150 | Type:MDP
[Monitor_3] ID:101 Name:monitored | Src:0100 Tgt:1010 | Data(Hex):96 Data(Dec):150 | Type:MDP
[Driver_0] ID:102 Name:pkt_0 | Src:0001 Tgt:0100 | Data(Hex):1e Data(Dec):30 | Type:SDP
[Driver_3] ID:103 Name:pkt_3 | Src:1000 Tgt:1111 | Data(Hex):fd Data(Dec):253 | Type:BDP
[Checker] Predicted Drop: Packet ID 104 is INVALID (Src:0010 Tgt:0011). Ignoring.
[Driver_1] ID:104 Name:pkt_1 | Src:0010 Tgt:0011 | Data(Hex):b1 Data(Dec):177 | Type:MDP
[Driver_2] ID:105 Name:pkt_2 | Src:0100 Tgt:1111 | Data(Hex):9d Data(Dec):157 | Type:BDP
[Monitor_0] ID:106 Name:monitored | Src:1000 Tgt:1111 | Data(Hex):fd Data(Dec):253 | Type:BDP
[Monitor_1] ID:107 Name:monitored | Src:1000 Tgt:1111 | Data(Hex):fd Data(Dec):253 | Type:BDP
[Monitor_2] ID:108 Name:monitored | Src:1000 Tgt:1111 | Data(Hex):fd Data(Dec):253 | Type:BDP
[Monitor_3] ID:109 Name:monitored | Src:1000 Tgt:1111 | Data(Hex):fd Data(Dec):253 | Type:BDP
[Monitor_2] ID:110 Name:monitored | Src:0001 Tgt:0100 | Data(Hex):1e Data(Dec):30 | Type:SDP
[Monitor_0] ID:111 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):9d Data(Dec):157 | Type:BDP
[Monitor_1] ID:112 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):9d Data(Dec):157 | Type:BDP
[Monitor_2] ID:113 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):9d Data(Dec):157 | Type:BDP
[Monitor_3] ID:114 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):9d Data(Dec):157 | Type:BDP
[Driver_0] ID:115 Name:pkt_0 | Src:0001 Tgt:0100 | Data(Hex):a8 Data(Dec):168 | Type:SDP
[Driver_3] ID:116 Name:pkt_3 | Src:1000 Tgt:0101 | Data(Hex):9a Data(Dec):154 | Type:MDP
[Checker] Predicted Drop: Packet ID 117 is INVALID (Src:0010 Tgt:0011). Ignoring.
[Driver_1] ID:117 Name:pkt_1 | Src:0010 Tgt:0011 | Data(Hex):ed Data(Dec):237 | Type:MDP
[Checker] Predicted Drop: Packet ID 118 is INVALID (Src:0100 Tgt:1110). Ignoring.
[Driver_2] ID:118 Name:pkt_2 | Src:0100 Tgt:1110 | Data(Hex):23 Data(Dec):35 | Type:MDP
[Checker] Predicted Drop: Packet ID 119 is INVALID (Src:1000 Tgt:0000). Ignoring.
[Driver_3] ID:119 Name:pkt_3 | Src:1000 Tgt:0000 | Data(Hex):e5 Data(Dec):229 | Type:ERR
[Monitor_2] ID:120 Name:monitored | Src:0001 Tgt:0100 | Data(Hex):a8 Data(Dec):168 | Type:SDP
[Checker] Predicted Drop: Packet ID 121 is INVALID (Src:0001 Tgt:0001). Ignoring.
[Driver_0] ID:121 Name:pkt_0 | Src:0001 Tgt:0001 | Data(Hex):f2 Data(Dec):242 | Type:SDP
[Monitor_0] ID:122 Name:monitored | Src:1000 Tgt:0101 | Data(Hex):9a Data(Dec):154 | Type:MDP
[Monitor_2] ID:123 Name:monitored | Src:1000 Tgt:0101 | Data(Hex):9a Data(Dec):154 | Type:MDP
[Checker] Predicted Drop: Packet ID 124 is INVALID (Src:1000 Tgt:1110). Ignoring.
